Satellite_ID,Timestamp,Value,Category
Satellite_B,2023-02-01 00:00:00,6997.344355877699,0
Satellite_B,2023-02-01 00:10:00,7006.856762253284,0
Satellite_B,2023-02-01 00:20:00,7001.318028280133,0
Satellite_B,2023-02-01 00:30:00,7002.869518863646,0
Satellite_B,2023-02-01 00:40:00,7000.214022059795,0
Satellite_B,2023-02-01 00:50:00,7003.684117015105,0
Satellite_B,2023-02-01 01:00:00,7004.983900498944,0
Satellite_B,2023-02-01 01:10:00,7006.510496669817,0
Satellite_B,2023-02-01 01:20:00,7005.932764950566,0
Satellite_B,2023-02-01 01:30:00,7007.4731151061715,0
Satellite_B,2023-02-01 01:40:00,7008.148662963475,0
Satellite_B,2023-02-01 01:50:00,7003.1706063799775,0
Satellite_B,2023-02-01 02:00:00,7007.849995743789,0
Satellite_B,2023-02-01 02:10:00,7006.713803844722,0
Satellite_B,2023-02-01 02:20:00,7005.9185988448435,0
Satellite_B,2023-02-01 02:30:00,7012.552179704782,0
Satellite_B,2023-02-01 02:40:00,7005.173813690003,0
Satellite_B,2023-02-01 02:50:00,7011.593701258794,0
Satellite_B,2023-02-01 03:00:00,7007.9120395502705,0
Satellite_B,2023-02-01 03:10:00,7006.935664972163,0
Satellite_B,2023-02-01 03:20:00,7007.766619696977,0
Satellite_B,2023-02-01 03:30:00,7015.727594913502,0
Satellite_B,2023-02-01 03:40:00,7015.717402219886,0
Satellite_B,2023-02-01 03:50:00,7016.784601339912,0
Satellite_B,2023-02-01 04:00:00,7011.562109513819,0
Satellite_B,2023-02-01 04:10:00,7012.928233284785,0
Satellite_B,2023-02-01 04:20:00,7009.065567774339,0
Satellite_B,2023-02-01 04:30:00,7015.310233411136,0
Satellite_B,2023-02-01 04:40:00,7013.811407980085,0
Satellite_B,2023-02-01 04:50:00,7018.730325420593,0
Satellite_B,2023-02-01 05:00:00,7018.770211324592,0
Satellite_B,2023-02-01 05:10:00,7015.008245123497,0
Satellite_B,2023-02-01 05:20:00,7017.183671352914,0
Satellite_B,2023-02-01 05:30:00,7012.7710339796495,0
Satellite_B,2023-02-01 05:40:00,7018.28288585646,0
Satellite_B,2023-02-01 05:50:00,7017.483224442023,0
Satellite_B,2023-02-01 06:00:00,7022.308861485811,0
Satellite_B,2023-02-01 06:10:00,7020.548000388676,0
