Timestamp,Value,Category
2023/3/28 14:55,41972.4678,0
2023/3/28 14:55,41972.4678,0
2023/3/29 13:50,41972.5269,0
2023/4/1 20:30,41972.4578,0
2023/4/2 20:36,41972.531,0
2023/4/3 14:17,41972.5917,0
2023/4/4 14:05,41972.6846,0
2023/4/5 19:11,41972.8162,0
2023/4/6 20:02,41972.9376,0
2023/4/7 11:01,41973.0158,0
2023/4/8 10:53,41973.1452,0
2023/4/9 10:59,41973.2802,0
2023/4/10 12:48,41973.4265,0
2023/4/11 18:04,41973.5898,0
2023/4/12 11:17,41973.6848,0
2023/4/13 11:23,41973.8123,0
2023/4/14 11:00,41973.9307,0
2023/4/15 7:12,41974.0269,2
2023/4/16 9:41,41974.138,2
2023/4/18 8:27,41974.3032,2
2023/4/19 20:34,42351.0426,2
2023/4/21 11:15,42351.2969,2
2023/4/22 10:29,42351.3677,2
2023/4/23 20:53,42351.478,0
2023/4/24 17:31,42351.5477,0
2023/4/25 12:26,42351.6137,0
2023/4/26 12:31,42351.7059,0
2023/4/27 0:33,42351.7558,0
2023/4/28 10:57,42351.8981,0
2023/4/29 10:53,42352.0041,0
2023/4/30 12:49,42352.1231,0
2023/5/1 11:10,42352.2286,0
2023/5/2 0:56,42352.2983,0
2023/5/3 13:02,42352.4627,0
2023/5/4 13:07,42352.5738,0
2023/5/5 13:11,42352.6804,0
2023/5/6 11:32,42352.774,0
2023/5/7 11:11,42352.8641,0
2023/5/8 9:11,42352.9392,0
2023/5/9 4:21,42352.9971,0
2023/5/10 9:29,42353.0659,0
2023/5/11 9:45,42353.1059,0
2023/5/12 8:33,42353.1275,0
2023/5/13 12:04,42353.128,0
2023/5/14 22:28,42353.0934,0
2023/5/15 13:12,42353.071,3
2023/5/16 15:44,42353.0112,3
2023/5/17 15:49,42352.9429,3
2023/5/18 11:00,42307.1401,3
2023/5/21 21:17,42279.1501,3
2023/5/22 12:46,42279.092,3
2023/5/23 17:16,42278.9929,3
2023/5/24 11:39,42278.9255,0
2023/5/25 13:54,42278.8394,0
2023/5/26 11:21,42278.7694,0
2023/5/27 11:42,42278.6963,0
2023/5/28 11:55,42278.6246,0
2023/5/29 12:04,42278.556,0
2023/5/30 13:23,42278.4857,0
2023/5/31 14:09,42278.4174,0
2023/6/1 10:39,42278.3601,0
2023/6/2 11:54,42278.287,0
2023/6/3 16:25,42278.1993,0
2023/6/4 17:13,42278.1171,0
2023/6/5 16:43,42278.0325,0
2023/6/6 12:13,42277.9566,0
2023/6/7 10:58,42277.8592,0
2023/6/8 12:26,42277.7364,0
2023/6/9 10:30,42277.6202,0
2023/6/10 13:38,42277.4593,0
2023/6/11 17:46,42277.2795,0
2023/6/12 17:51,42277.1175,0
2023/6/13 17:55,42276.9507,0
2023/6/14 13:06,42276.8144,0
2023/6/15 13:06,42276.6465,0
2023/6/16 12:42,42276.4851,0
2023/6/17 16:30,42276.3008,0
2023/6/18 12:30,42276.1733,0
2023/6/19 14:31,42276.0144,0
2023/6/20 16:29,42275.8657,0
2023/6/21 18:32,42275.7272,0
2023/6/22 18:37,42275.6081,0
2023/6/23 18:41,42275.4991,0
2023/6/25 1:40,42275.3741,0
2023/6/26 1:43,42275.2884,0
2023/6/27 11:29,42275.1851,0
2023/6/28 14:39,42275.114,0
2023/6/29 17:26,42275.0516,0
2023/6/30 19:13,42274.998,0
2023/7/1 19:18,42274.9529,0
2023/7/2 19:22,42274.9094,0
2023/7/4 12:05,42274.836,0
2023/7/5 14:26,42274.7799,0
2023/7/6 17:57,42274.713,0
2023/7/7 19:15,42274.6459,0
2023/7/8 20:05,42274.575,0
2023/7/9 20:56,42274.5019,2
2023/7/11 11:59,42274.386,2
2023/7/12 13:06,42274.3211,2
2023/7/13 20:12,42439.4135,2
2023/7/15 12:50,42439.0622,2
2023/7/16 16:57,42439.0776,2
2023/7/17 15:18,42439.1536,0
2023/7/18 17:05,42439.1901,0
2023/7/19 17:53,42439.2827,0
2023/7/20 18:43,42439.397,0
2023/7/24 12:19,42439.9813,0
2023/7/25 16:32,42440.201,0
