Timestamp,Value
2020/7/1 8:06,42166.3734
2020/7/1 20:10,42166.3274
2020/7/2 18:34,42166.2355
2020/7/3 18:00,42166.1365
2020/7/4 6:45,42166.0818
2020/7/5 5:53,42165.9818
2020/7/6 6:14,42165.8783
2020/7/7 6:31,42165.7785
2020/7/8 7:13,42165.6815
2020/7/9 19:24,42165.5497
2020/7/10 7:24,42165.508
2020/7/11 18:27,42165.395
2020/7/12 21:10,42165.317
2020/7/13 7:49,42165.2898
2020/7/14 7:04,42165.2315
2020/7/15 8:03,42165.1771
2020/7/16 8:10,42165.1323
2020/7/17 5:40,42165.0981
2020/7/18 6:41,42165.0673
2020/7/19 6:48,42165.0437
2020/7/20 19:25,42165.0103
2020/7/21 7:03,42165.005
2020/7/22 7:10,42164.9829
2020/7/23 21:04,42164.931
2020/7/24 7:24,42164.9153
2020/7/25 20:50,42164.834
2020/7/26 19:42,42164.7695
2020/7/27 19:49,42164.6908
2020/7/28 7:53,42164.6453
2020/7/29 8:00,42164.5534
2020/7/30 19:25,42164.4099
2020/7/31 8:14,42164.3552
2020/8/1 20:25,42164.2041
2020/8/2 17:12,42164.1186
2020/8/3 6:52,42164.0611
2020/8/4 17:50,42163.9263
2020/8/5 6:41,42163.8764
2020/8/6 7:39,42163.7873
2020/8/7 17:41,42163.674
2020/8/8 19:31,42163.5944
2020/8/9 19:39,42163.5268
2020/8/10 16:19,42163.4758
2020/8/11 19:53,42163.4133
2020/8/12 6:21,42163.394
2020/8/13 17:20,42163.3357
2020/8/14 8:11,42163.3177
2020/8/15 7:21,42163.2931
2020/8/16 18:22,42163.2622
2020/8/17 18:34,42163.2446
2020/8/18 19:00,42163.2244
2020/8/19 19:07,42163.1972
2020/8/20 17:52,42163.1624
2020/8/21 19:45,42163.1086
2020/8/22 19:28,42163.0456
2020/8/23 17:16,42162.9752
2020/8/24 17:59,42162.8855
2020/8/25 7:46,42162.8286
2020/8/26 5:53,42162.7383
2020/8/27 19:12,42166.6518
2020/8/28 8:07,42166.5848
2020/8/29 6:56,42166.4861
2020/8/30 16:59,42166.3454
2020/8/31 8:29,42166.2812
2020/9/1 18:26,42166.1519
2020/9/2 8:43,42166.0992
2020/9/3 17:27,42165.9854
2020/9/4 19:18,42165.9019
2020/9/5 7:21,42165.8674
2020/9/6 6:13,42165.8026
2020/9/7 7:35,42165.7387
2020/9/8 7:43,42165.6843
2020/9/9 7:50,42165.638
2020/9/10 7:57,42165.6002
2020/9/11 8:04,42165.571
2020/9/12 6:28,42165.5509
2020/9/13 16:55,42165.5256
2020/9/14 17:02,42165.5113
2020/9/15 18:53,42165.4917
2020/9/16 19:00,42165.4645
2020/9/17 19:07,42165.4255
2020/9/18 19:14,42165.3717
2020/9/19 17:38,42165.3084
2020/9/20 16:02,42165.2324
2020/9/21 14:25,42165.1474
2020/9/22 14:32,42165.0488
2020/9/23 6:03,42164.9803
2020/9/24 18:13,42164.827
2020/9/25 6:17,42164.7737
2020/9/26 5:59,42164.6737
2020/9/27 18:35,42164.5259
2020/9/28 6:34,42164.4774
2020/9/29 6:45,42164.3858
2020/9/30 6:53,42164.2989
2020/10/1 13:53,42164.1949
2020/10/2 17:27,42164.1071
2020/10/3 4:55,42164.0757
2020/10/4 5:38,42164.009
2020/10/5 5:32,42163.951
2020/10/6 5:52,42163.8991
2020/10/7 6:03,42163.8554
2020/10/8 6:06,42163.8198
2020/10/9 6:13,42163.7926
2020/10/10 6:56,42163.7724
2020/10/11 5:58,42163.7584
2020/10/12 16:55,42163.7351
2020/10/13 17:02,42163.7163
2020/10/14 17:09,42163.6883
2020/10/15 5:13,42163.6701
2020/10/16 5:20,42163.6199
2020/10/17 17:31,42163.5201
2020/10/18 17:38,42163.4346
2020/10/19 16:02,42163.3449
2020/10/20 16:09,42163.242
2020/10/21 4:12,42163.1863
2020/10/22 4:19,42163.0797
2020/10/23 16:30,42162.9236
2020/10/24 6:35,42162.862
2020/10/25 4:41,42162.7692
2020/10/26 4:48,42162.6719
2020/10/27 4:55,42162.5791
2020/10/28 1:35,42162.5037
2020/10/29 15:29,42166.427
2020/10/30 3:33,42166.3818
2020/10/31 15:44,42166.2899
2020/11/1 3:47,42166.2585
2020/11/2 2:11,42166.2049
2020/11/3 4:02,42166.1522
2020/11/4 4:09,42166.1088
2020/11/5 5:37,42166.0737
2020/11/6 5:41,42166.0488
2020/11/7 14:50,42166.0196
2020/11/10 15:11,42165.963
2020/11/11 15:19,42165.9324
2020/11/12 5:56,42165.9066
2020/11/13 4:49,42165.857
2020/11/14 1:53,42165.799
2020/11/15 15:47,42165.675
2020/11/16 1:40,42165.6327
2020/11/17 3:02,42165.529
2020/11/18 2:21,42166.0129
2020/11/19 0:47,42164.8853
2020/11/20 14:39,42164.7435
2020/11/21 3:58,42164.7093
2020/11/22 2:50,42164.6044
2020/11/23 15:00,42164.4592
2020/11/24 15:08,42164.3695
2020/11/25 1:28,42164.3328
2020/11/26 5:45,42164.2369
2020/11/27 4:31,42164.1679
2020/11/28 4:37,42164.1018
2020/11/29 20:53,42164.0051
2020/11/30 5:25,42163.9871
2020/12/1 5:41,42163.9403
2020/12/2 2:18,42163.9089
2020/12/3 2:25,42163.8772
2020/12/4 0:03,42163.8551
2020/12/5 0:55,42163.8327
2020/12/6 6:57,42163.8063
2020/12/7 23:28,42163.7702
2020/12/8 23:15,42163.7379
2020/12/10 6:50,42163.6791
2020/12/11 0:56,42163.6359
2020/12/12 4:02,42163.5582
2020/12/13 18:17,42163.4268
2020/12/14 22:40,42163.311
2020/12/15 11:30,42163.26
2020/12/16 0:30,42163.2014
2020/12/17 11:17,42166.2139
2020/12/18 7:38,42166.3084
2020/12/19 17:52,42166.2419
2020/12/20 7:52,42166.1822
2020/12/21 21:46,42166.0325
2020/12/22 10:25,42165.9837
2020/12/23 6:05,42165.915
2020/12/24 19:07,42165.7978
2020/12/25 20:31,42165.7264
2020/12/26 7:00,42165.7003
2020/12/27 5:42,42165.6484
2020/12/28 7:19,42165.5985
2020/12/29 6:16,42165.5604
2020/12/30 18:45,42165.5152
2020/12/31 7:27,42165.4995
2021/1/1 19:37,42165.4687
2021/1/2 7:41,42165.455
2021/1/3 21:35,42165.4196
2021/1/4 7:55,42165.4056
2021/1/5 8:02,42165.3717
2021/1/6 8:09,42165.3283
2021/1/7 20:20,42165.2399
2021/1/8 22:10,42165.1631
2021/1/9 18:51,42165.095
2021/1/10 6:45,42165.0527
2021/1/11 7:06,42164.9604
2021/1/12 20:55,42164.8051
2021/1/13 7:16,42164.7648
2021/1/14 4:55,42164.6734
2021/1/15 17:50,42164.5192
2021/1/16 6:47,42164.4685
2021/1/17 7:44,42164.3692
2021/1/18 7:51,42164.2773
2021/1/19 20:02,42164.1497
2021/1/20 20:09,42164.0724
2021/1/21 6:43,42164.0396
2021/1/22 8:19,42163.9686
2021/1/23 6:43,42163.9145
2021/1/24 6:50,42163.8638
2021/1/25 6:57,42163.8215
2021/1/26 6:40,42163.7875
2021/1/27 7:08,42163.759
2021/1/28 21:05,42163.727
2021/1/29 17:46,42163.7088
2021/1/30 7:33,42163.6925
2021/1/31 18:00,42163.653
2021/2/1 5:32,42163.6353
2021/2/2 7:14,42163.5902
2021/2/3 20:04,42163.5011
2021/2/4 20:12,42163.4304
2021/2/5 17:20,42163.3626
2021/2/6 16:59,42163.2785
2021/2/7 6:46,42163.2266
2021/2/8 6:53,42163.1319
2021/2/9 20:47,42162.9741
2021/2/10 19:11,42162.881
2021/2/11 7:02,42162.835
2021/2/12 19:22,42162.6831
2021/2/13 7:27,42162.636
2021/2/14 7:22,42162.5407
2021/2/15 17:11,42162.4154
2021/2/16 7:50,42162.3608
2021/2/17 7:57,42162.2798
2021/2/18 6:20,42166.4483
2021/2/19 6:18,42166.5579
2021/2/20 6:23,42166.5027
2021/2/21 8:25,42166.4508
2021/2/22 8:13,42166.4152
2021/2/23 8:39,42166.3841
2021/2/24 8:46,42166.3569
2021/2/25 18:39,42166.3358
2021/2/26 9:04,42166.3185
2021/2/27 19:28,42166.2871
2021/2/28 9:02,42166.266
2021/3/1 19:42,42166.2044
2021/3/2 18:05,42166.1491
2021/3/3 19:56,42166.0771
2021/3/4 7:59,42166.0437
2021/3/5 5:55,42165.9672
2021/3/6 8:14,42165.8702
2021/3/7 18:41,42165.7297
2021/3/8 18:48,42165.6313
2021/3/9 18:55,42165.5312
2021/3/10 6:59,42165.4844
2021/3/11 19:09,42165.3333
2021/3/12 6:19,42165.291
2021/3/13 17:09,42165.1547
2021/3/14 5:28,42165.1057
2021/3/15 7:00,42165.0137
2021/3/16 7:41,42164.9296
2021/3/17 14:41,42164.8354
2021/3/18 6:22,42164.7878
2021/3/19 4:27,42164.7311
2021/3/20 5:27,42164.677
2021/3/21 6:33,42164.6299
2021/3/22 13:33,42164.5918
2021/3/23 6:18,42164.5685
2021/3/24 18:57,42164.545
2021/3/25 7:01,42164.5321
2021/3/26 17:28,42164.5127
2021/3/27 17:35,42164.4867
2021/3/28 17:42,42164.4502
2021/3/29 6:46,42164.4272
2021/3/30 17:56,42164.3403
2021/3/31 7:24,42164.3056
2021/4/1 16:27,42164.1892
2021/4/2 18:18,42164.0928
2021/4/3 6:21,42164.0488
2021/4/4 15:05,42163.9134
2021/4/5 4:18,42163.8596
2021/4/6 1:32,42163.7704
2021/4/7 15:26,42163.6081
2021/4/8 5:13,42163.5521
2021/4/9 5:20,42163.4531
2021/4/10 3:44,42163.364
2021/4/11 17:38,42163.2244
2021/4/12 5:41,42163.1798
2021/4/13 16:09,42163.0705
2021/4/14 3:40,42163.0335
2021/4/15 3:59,42162.9662
2021/4/16 4:26,42162.9062
2021/4/17 4:36,42162.8549
2021/4/18 6:27,42162.8101
2021/4/19 4:47,42162.7781
2021/4/20 3:11,42162.7526
2021/4/21 3:18,42162.7322
2021/4/22 15:29,42166.6891
2021/4/23 13:52,42166.6563
2021/4/24 3:39,42166.6159
2021/4/25 3:46,42166.5812
2021/4/26 3:53,42166.5335
2021/4/27 6:00,42166.4732
2021/4/28 4:07,42166.4107
2021/4/29 16:18,42166.2823
2021/4/30 4:22,42166.2394
2021/5/1 14:49,42166.0975
2021/5/2 3:01,42166.0476
2021/5/3 15:03,42165.8915
2021/5/4 15:10,42165.7869
2021/5/5 18:45,42165.6694
2021/5/6 3:20,42165.6344
2021/5/7 3:27,42165.5349
2021/5/8 3:34,42165.4396
2021/5/9 3:41,42165.3496
2021/5/10 3:48,42165.266
2021/5/11 2:12,42165.1951
2021/5/12 14:23,42165.0959
2021/5/13 1:55,42165.0647
2021/5/14 1:58,42165.0101
2021/5/15 0:57,42164.9652
2021/5/16 12:39,42164.9122
2021/5/17 14:58,42164.8814
2021/5/18 3:01,42164.8671
