Timestamp,Value,Category,
2020/7/1 11:19,42180.6979,0,
2020/7/1 13:35,42180.6848,0,
2020/7/2 5:45,42180.6028,0,
2020/7/2 13:39,42180.5582,0,
2020/7/3 6:17,42180.481,0,
2020/7/3 11:22,42180.4555,0,
2020/7/3 13:31,42180.4426,0,
2020/7/4 13:39,42180.3281,0,
2020/7/4 15:21,42180.32,0,
2020/7/5 13:23,42180.2114,0,
2020/7/5 15:41,42180.2002,0,
2020/7/6 13:48,42180.0876,0,
2020/7/6 16:01,42180.0759,0,
2020/7/7 11:56,42179.9821,0,
2020/7/7 15:16,42179.9594,0,
2020/7/8 10:49,42179.8708,0,
2020/7/8 13:27,42179.8621,0,
2020/7/8 18:08,42179.8357,0,
2020/7/9 10:48,42179.754,0,
2020/7/9 13:14,42179.7366,0,
2020/7/10 11:18,42179.6283,0,
2020/7/10 13:11,42179.6193,0,
2020/7/10 15:37,42179.6081,0,
2020/7/11 13:20,42179.4939,0,
2020/7/12 6:28,42179.4179,0,
2020/7/12 13:26,42179.3792,0,
2020/7/13 13:51,42179.2529,0,
2020/7/14 12:24,42179.1432,0,
2020/7/14 18:23,42179.1177,0,
2020/7/15 12:25,42179.0245,0,
2020/7/16 12:49,42178.898,0,
2020/7/17 0:28,42178.8393,0,
2020/7/17 12:42,42178.7737,0,
2020/7/18 12:47,42178.6567,0,
2020/7/18 16:34,42178.6404,0,
2020/7/19 9:34,42178.5447,0,
2020/7/19 12:54,42178.5279,0,
2020/7/19 16:49,42178.5077,0,
2020/7/20 8:18,42178.4348,0,
2020/7/20 14:22,42178.4033,0,
2020/7/21 6:44,42178.3231,0,
2020/7/21 11:42,42178.2978,0,
2020/7/22 14:40,42178.1632,0,
2020/7/23 13:35,42178.0439,0,
2020/7/24 11:18,42177.9348,0,
2020/7/25 13:27,42177.8069,0,
2020/7/26 5:21,42177.7278,0,
2020/7/26 12:00,42177.6986,0,
2020/7/27 12:07,42177.5751,0,
2020/7/28 11:06,42177.4629,0,
2020/7/28 13:16,42177.4503,0,
2020/7/29 15:20,42177.3299,0,
2020/7/30 13:16,42177.2264,0,
2020/7/31 11:04,42177.1218,0,
2020/7/31 12:45,42177.1167,0,
2020/8/1 5:57,42177.0356,0,
2020/8/1 14:31,42176.9947,0,
2020/8/2 12:24,42176.8957,0,
2020/8/3 12:20,42176.7882,0,
2020/8/3 15:07,42176.7778,0,
2020/8/4 11:09,42176.6766,0,
2020/8/4 13:51,42176.6614,0,
2020/8/5 11:02,42176.5613,0,
2020/8/5 14:10,42176.5503,0,
2020/8/6 7:28,42176.4735,0,
2020/8/6 11:35,42176.4544,0,
2020/8/6 14:29,42176.4389,0,
2020/8/7 12:19,42176.3298,0,
2020/8/7 14:56,42176.3222,0,
2020/8/8 9:08,42176.2305,0,
2020/8/8 11:49,42176.2232,0,
2020/8/9 11:02,42176.0989,0,
2020/8/10 11:16,42175.9909,0,
2020/8/10 13:45,42175.9803,0,
2020/8/11 5:36,42175.9057,0,
2020/8/11 14:48,42175.8591,0,
2020/8/12 11:13,42175.7629,0,
2020/8/12 17:51,42175.7334,0,
2020/8/13 5:41,42175.6754,0,
2020/8/13 13:03,42175.6395,0,
2020/8/14 11:11,42175.5317,0,
2020/8/15 11:45,42175.4173,0,
2020/8/15 14:20,42175.401,0,
2020/8/15 17:12,42175.387,0,
2020/8/16 11:04,42175.3023,0,
2020/8/17 11:25,42175.1904,0,
2020/8/17 14:49,42175.1758,0,
2020/8/18 10:58,42175.0731,0,
2020/8/18 15:05,42175.0515,0,
2020/8/19 13:50,42174.9483,0,
2020/8/19 16:48,42174.9345,0,
2020/8/20 17:05,42174.8164,0,
2020/8/21 12:50,42174.7236,0,
2020/8/21 17:25,42174.7028,0,
2020/8/22 14:31,42174.5971,0,
2020/8/23 11:33,42174.5042,0,
2020/8/23 16:33,42174.479,0,
2020/8/24 10:59,42174.3946,0,
2020/8/24 12:30,42174.3873,0,
2020/8/24 15:18,42174.3738,0,
2020/8/25 14:58,42174.2686,0,
2020/8/26 11:11,42174.1763,0,
2020/8/26 14:24,42174.1612,0,
2020/8/27 5:26,42174.0981,0,
2020/8/27 14:43,42174.0602,0,
2020/8/28 11:24,42173.9643,0,
2020/8/28 14:47,42173.9497,0,
2020/8/29 10:46,42173.8628,0,
2020/8/29 14:29,42173.8448,0,
2020/8/30 10:38,42173.7548,0,
2020/8/31 9:22,42173.6532,0,
2020/8/31 18:47,42173.617,0,
2020/9/1 10:22,42173.5461,0,
2020/9/1 14:36,42173.529,0,
2020/9/2 11:56,42173.4392,0,
2020/9/2 16:32,42173.4137,0,
2020/9/3 10:12,42173.3343,0,
2020/9/3 13:35,42173.3225,0,
2020/9/4 10:04,42173.2305,0,
2020/9/4 12:34,42173.219,0,
2020/9/5 3:14,42173.1551,0,
2020/9/5 12:02,42173.113,0,
2020/9/5 15:49,42173.0962,0,
2020/9/6 5:18,42173.0353,0,
2020/9/6 13:44,42172.9944,0,
2020/9/7 8:29,42172.9077,0,
2020/9/7 14:41,42172.8844,0,
2020/9/8 13:22,42172.7818,0,
2020/9/9 5:09,42172.7125,0,
2020/9/9 10:37,42172.6901,0,
2020/9/9 12:43,42172.6777,0,
2020/9/10 5:48,42172.5958,0,
2020/9/10 10:46,42172.5745,0,
2020/9/11 9:04,42172.4755,0,
2020/9/11 10:55,42172.4677,0,
2020/9/12 13:08,42172.3479,0,
2020/9/12 14:50,42172.3398,0,
2020/9/13 5:01,42172.2764,0,
2020/9/13 13:28,42172.2439,0,
2020/9/13 19:31,42172.211,0,
2020/9/14 10:52,42172.1429,0,
2020/9/14 19:38,42172.1064,0,
2020/9/15 10:21,42172.0372,0,
2020/9/15 17:03,42172.0083,0,
2020/9/15 19:46,42171.9942,0,
2020/9/16 12:04,42171.9199,0,
2020/9/17 9:41,42171.8268,0,
2020/9/17 14:33,42171.8047,0,
2020/9/18 8:23,42171.7208,0,
2020/9/19 6:24,42171.6263,0,
2020/9/19 18:18,42171.5716,0,
2020/9/20 8:15,42171.5119,0,
2020/9/20 15:33,42171.4824,0,
2020/9/21 14:54,42171.3795,0,
2020/9/22 14:08,42171.283,0,
2020/9/23 10:06,42171.1997,0,
2020/9/23 18:59,42171.1585,0,
2020/9/24 9:59,42171.101,0,
2020/9/24 19:06,42171.0589,0,
2020/9/25 9:54,42171.002,0,
2020/9/25 19:13,42170.9611,0,
2020/9/26 9:55,42170.9022,0,
2020/9/26 19:20,42170.8632,0,
2020/9/27 9:07,42170.8018,0,
2020/9/27 19:28,42170.7594,0,
2020/9/28 7:58,42170.7123,0,
2020/9/28 19:35,42170.6624,0,
2020/9/29 9:43,42170.6097,0,
2020/9/29 19:42,42170.5659,0,
2020/9/30 9:23,42170.5118,0,
2020/9/30 19:49,42170.4692,0,
2020/10/1 8:40,42170.4114,0,
2020/10/2 9:16,42170.3063,0,
2020/10/2 19:05,42170.2631,0,
2020/10/3 10:22,42170.1991,0,
2020/10/4 8:14,42170.1052,0,
2020/10/4 18:01,42170.0645,0,
2020/10/5 7:46,42170.0048,0,
2020/10/5 15:28,42169.9731,0,
2020/10/6 5:52,42169.9176,0,
2020/10/6 19:28,42169.8556,0,
2020/10/7 4:53,42169.8144,0,
2020/10/7 19:01,42169.7583,0,
2020/10/8 7:31,42169.7056,0,
2020/10/8 19:02,42169.659,0,
2020/10/9 12:07,42169.5788,0,
2020/10/9 17:58,42169.5542,0,
2020/10/9 19:36,42169.5466,0,
2020/10/10 5:37,42169.5042,0,
2020/10/10 16:43,42169.456,0,
2020/10/11 10:07,42169.3856,0,
2020/10/11 18:40,42169.3433,0,
2020/10/12 7:27,42169.2906,0,
2020/10/12 14:37,42169.2608,0,
2020/10/12 19:31,42169.2393,0,
2020/10/13 14:41,42169.1619,0,
2020/10/13 19:38,42169.1425,0,
2020/10/14 5:35,42169.1002,0,
2020/10/14 19:45,42169.0365,0,
2020/10/15 14:38,42168.9569,0,
2020/10/16 7:37,42168.8862,0,
2020/10/16 13:10,42168.861,0,
